[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.result (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:site-setup-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:site-setup-completed.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:site-setup-completed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:started.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:started.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:started.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:started.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:stopped.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:stopped.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:stopped.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:stopped.__type.reason (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:stopped.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:added.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:added.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:added.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:added.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:cache-updated.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:cache-updated.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:cache-updated.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-requested.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-requested.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-requested.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-requested.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-response.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-response.__type.isActive (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-response.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-response.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:is-monitoring-active-response.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:removed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:removed.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:removed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-requested.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-requested.__type.monitor (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-requested.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-requested.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-response.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-response.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-response.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-response.__type.success (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:restart-monitoring-response.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:start-monitoring-requested.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:start-monitoring-requested.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:start-monitoring-requested.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:start-monitoring-requested.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:stop-monitoring-requested.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:stop-monitoring-requested.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:stop-monitoring-requested.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:stop-monitoring-requested.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:updated.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:updated.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:updated.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:updated.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.internal:site:updated.__type.updatedFields (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:added.__type.monitor (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:added.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:added.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:check-completed.__type.checkType (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:check-completed.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:check-completed.__type.result (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:check-completed.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:check-completed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:down.__type.monitor (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:down.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:down.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:down.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:removed.__type.monitorId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:removed.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:removed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.monitor (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.newStatus (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.previousStatus (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.responseTime (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
